Chave,TUD,Stemmer
201400724458443635031,1601,NoStem
201400724458443635031,1295,Porter
201400724458443635031,1190,RSLP
201400724458443635031,1491,RSLPS
201400724458443635031,1427,UniNE
201400725163443635121,367,NoStem
201400725163443635121,334,Porter
201400725163443635121,310,RSLP
201400725163443635121,346,RSLPS
201400725163443635121,341,UniNE
201400725233443635111,324,NoStem
201400725233443635111,299,Porter
201400725233443635111,284,RSLP
201400725233443635111,318,RSLPS
201400725233443635111,312,UniNE
201400725304443636511,806,NoStem
201400725304443636511,667,Porter
201400725304443636511,626,RSLP
201400725304443636511,743,RSLPS
201400725304443636511,721,UniNE
201400726872443635401,969,NoStem
201400726872443635401,797,Porter
201400726872443635401,739,RSLP
201400726872443635401,915,RSLPS
201400726872443635401,879,UniNE
201400727789443639591,1218,NoStem
201400727789443639591,968,Porter
201400727789443639591,887,RSLP
201400727789443639591,1130,RSLPS
201400727789443639591,1092,UniNE
201400728790443641472,692,NoStem
201400728790443641472,570,Porter
201400728790443641472,536,RSLP
201400728790443641472,646,RSLPS
201400728790443641472,619,UniNE
201400728917443635961,694,NoStem
201400728917443635961,605,Porter
201400728917443635961,565,RSLP
201400728917443635961,664,RSLPS
201400728917443635961,655,UniNE
201400728965443635751,805,NoStem
201400728965443635751,693,Porter
201400728965443635751,639,RSLP
201400728965443635751,766,RSLPS
201400728965443635751,745,UniNE
201400729521443637211,485,NoStem
201400729521443637211,421,Porter
201400729521443637211,403,RSLP
201400729521443637211,462,RSLPS
201400729521443637211,459,UniNE
201400801636443632871,556,NoStem
201400801636443632871,463,Porter
201400801636443632871,436,RSLP
201400801636443632871,530,RSLPS
201400801636443632871,523,UniNE
201400801818443634281,619,NoStem
201400801818443634281,544,Porter
201400801818443634281,513,RSLP
201400801818443634281,591,RSLPS
201400801818443634281,579,UniNE
201400801918443632521,804,NoStem
201400801918443632521,688,Porter
201400801918443632521,640,RSLP
201400801918443632521,767,RSLPS
201400801918443632521,748,UniNE
201400802094443632581,794,NoStem
201400802094443632581,684,Porter
201400802094443632581,639,RSLP
201400802094443632581,752,RSLPS
201400802094443632581,730,UniNE
201400802839443633011,1246,NoStem
201400802839443633011,1013,Porter
201400802839443633011,933,RSLP
201400802839443633011,1172,RSLPS
201400802839443633011,1124,UniNE
201400803666443632802,365,NoStem
201400803666443632802,336,Porter
201400803666443632802,309,RSLP
201400803666443632802,344,RSLPS
201400803666443632802,341,UniNE
201400803933443633401,261,NoStem
201400803933443633401,244,Porter
201400803933443633401,228,RSLP
201400803933443633401,249,RSLPS
201400803933443633401,248,UniNE
201400803973443633441,463,NoStem
201400803973443633441,406,Porter
201400803973443633441,379,RSLP
201400803973443633441,446,RSLPS
201400803973443633441,434,UniNE
201400804185443633051,736,NoStem
201400804185443633051,649,Porter
201400804185443633051,621,RSLP
201400804185443633051,706,RSLPS
201400804185443633051,693,UniNE
201400804496443632802,336,NoStem
201400804496443632802,299,Porter
201400804496443632802,278,RSLP
201400804496443632802,321,RSLPS
201400804496443632802,319,UniNE
201400804503443632861,616,NoStem
201400804503443632861,541,Porter
201400804503443632861,501,RSLP
201400804503443632861,583,RSLPS
201400804503443632861,570,UniNE
201400804941443632811,479,NoStem
201400804941443632811,423,Porter
201400804941443632811,401,RSLP
201400804941443632811,459,RSLPS
201400804941443632811,449,UniNE
201400805597443633222,378,NoStem
201400805597443633222,337,Porter
201400805597443633222,311,RSLP
201400805597443633222,358,RSLPS
201400805597443633222,354,UniNE
201400806241443633352,890,NoStem
201400806241443633352,745,Porter
201400806241443633352,690,RSLP
201400806241443633352,837,RSLPS
201400806241443633352,817,UniNE
201400806678443633052,1127,NoStem
201400806678443633052,934,Porter
201400806678443633052,866,RSLP
201400806678443633052,1060,RSLPS
201400806678443633052,1019,UniNE
201400806801443633352,707,NoStem
201400806801443633352,628,Porter
201400806801443633352,584,RSLP
201400806801443633352,676,RSLPS
201400806801443633352,664,UniNE
201400806953443632871,504,NoStem
201400806953443632871,436,Porter
201400806953443632871,403,RSLP
201400806953443632871,478,RSLPS
201400806953443632871,471,UniNE
201400806958443633141,1028,NoStem
201400806958443633141,875,Porter
201400806958443633141,810,RSLP
201400806958443633141,966,RSLPS
201400806958443633141,939,UniNE
201400808292443634171,544,NoStem
201400808292443634171,482,Porter
201400808292443634171,455,RSLP
201400808292443634171,515,RSLPS
201400808292443634171,505,UniNE
201400808364443633151,486,NoStem
201400808364443633151,424,Porter
201400808364443633151,401,RSLP
201400808364443633151,477,RSLPS
201400808364443633151,461,UniNE
201400809291443633722,1499,NoStem
201400809291443633722,1173,Porter
201400809291443633722,1073,RSLP
201400809291443633722,1386,RSLPS
201400809291443633722,1325,UniNE
201400809688443634251,914,NoStem
201400809688443634251,761,Porter
201400809688443634251,704,RSLP
201400809688443634251,867,RSLPS
201400809688443634251,838,UniNE
201400809796443640151,456,NoStem
201400809796443640151,423,Porter
201400809796443640151,399,RSLP
201400809796443640151,441,RSLPS
201400809796443640151,431,UniNE
201400810134443635591,1778,NoStem
201400810134443635591,1406,Porter
201400810134443635591,1267,RSLP
201400810134443635591,1642,RSLPS
201400810134443635591,1547,UniNE
201400810286443634421,668,NoStem
201400810286443634421,571,Porter
201400810286443634421,536,RSLP
201400810286443634421,631,RSLPS
201400810286443634421,622,UniNE
201400810853443633372,230,NoStem
201400810853443633372,217,Porter
201400810853443633372,203,RSLP
201400810853443633372,220,RSLPS
201400810853443633372,221,UniNE
201400811270443633352,571,NoStem
201400811270443633352,500,Porter
201400811270443633352,461,RSLP
201400811270443633352,540,RSLPS
201400811270443633352,536,UniNE
201400811644443633631,333,NoStem
201400811644443633631,298,Porter
201400811644443633631,283,RSLP
201400811644443633631,319,RSLPS
201400811644443633631,316,UniNE
201400812047443633922,798,NoStem
201400812047443633922,684,Porter
201400812047443633922,630,RSLP
201400812047443633922,746,RSLPS
201400812047443633922,726,UniNE
201400812614443635041,1360,NoStem
201400812614443635041,1086,Porter
201400812614443635041,998,RSLP
201400812614443635041,1281,RSLPS
201400812614443635041,1212,UniNE
201400813095443636482,914,NoStem
201400813095443636482,773,Porter
201400813095443636482,700,RSLP
201400813095443636482,854,RSLPS
201400813095443636482,824,UniNE
201400814668443633842,866,NoStem
201400814668443633842,716,Porter
201400814668443633842,657,RSLP
201400814668443633842,810,RSLPS
201400814668443633842,784,UniNE
201400814821443634281,956,NoStem
201400814821443634281,780,Porter
201400814821443634281,725,RSLP
201400814821443634281,906,RSLPS
201400814821443634281,874,UniNE
201400815079443634001,955,NoStem
201400815079443634001,814,Porter
201400815079443634001,747,RSLP
201400815079443634001,902,RSLPS
201400815079443634001,877,UniNE
201400815959443634111,615,NoStem
201400815959443634111,540,Porter
201400815959443634111,502,RSLP
201400815959443634111,583,RSLPS
201400815959443634111,570,UniNE
201400816088443639321,691,NoStem
201400816088443639321,574,Porter
201400816088443639321,534,RSLP
201400816088443639321,653,RSLPS
201400816088443639321,633,UniNE
201400816478443634411,459,NoStem
201400816478443634411,422,Porter
201400816478443634411,402,RSLP
201400816478443634411,446,RSLPS
201400816478443634411,442,UniNE
201400816563443634331,1026,NoStem
201400816563443634331,862,Porter
201400816563443634331,807,RSLP
201400816563443634331,971,RSLPS
201400816563443634331,947,UniNE
201400816651443634171,1042,NoStem
201400816651443634171,866,Porter
201400816651443634171,787,RSLP
201400816651443634171,953,RSLPS
201400816651443634171,924,UniNE
201400817265443634271,862,NoStem
201400817265443634271,719,Porter
201400817265443634271,665,RSLP
201400817265443634271,806,RSLPS
201400817265443634271,782,UniNE
201400817335443634472,1126,NoStem
201400817335443634472,927,Porter
201400817335443634472,860,RSLP
201400817335443634472,1042,RSLPS
201400817335443634472,1010,UniNE
201400817387443634481,910,NoStem
201400817387443634481,746,Porter
201400817387443634481,701,RSLP
201400817387443634481,861,RSLPS
201400817387443634481,832,UniNE
201400817979443634271,828,NoStem
201400817979443634271,736,Porter
201400817979443634271,690,RSLP
201400817979443634271,801,RSLPS
201400817979443634271,785,UniNE
201400818153443635221,1448,NoStem
201400818153443635221,1162,Porter
201400818153443635221,1055,RSLP
201400818153443635221,1331,RSLPS
201400818153443635221,1279,UniNE
201400819054443636493,972,NoStem
201400819054443636493,807,Porter
201400819054443636493,742,RSLP
201400819054443636493,913,RSLPS
201400819054443636493,880,UniNE
201400819386443634831,512,NoStem
201400819386443634831,451,Porter
201400819386443634831,428,RSLP
201400819386443634831,477,RSLPS
201400819386443634831,469,UniNE
201400819701443634551,638,NoStem
