Chave,TUD,Stemmer
201501005825371640411,448,RSLPS
201501005825371640411,439,UniNE
201501005849371640411,288,NoStem
201501005849371640411,268,Porter
201501005849371640411,255,RSLP
201501005849371640411,282,RSLPS
201501005849371640411,277,UniNE
201501006234371640411,468,NoStem
201501006234371640411,426,Porter
201501006234371640411,390,RSLP
201501006234371640411,447,RSLPS
201501006234371640411,440,UniNE
201501007473371640411,1339,NoStem
201501007473371640411,1079,Porter
201501007473371640411,980,RSLP
201501007473371640411,1239,RSLPS
201501007473371640411,1190,UniNE
201501009222371640411,363,NoStem
201501009222371640411,335,Porter
201501009222371640411,311,RSLP
201501009222371640411,349,RSLPS
201501009222371640411,344,UniNE
201501004361371640371,738,NoStem
201501004361371640371,633,Porter
201501004361371640371,588,RSLP
201501004361371640371,703,RSLPS
201501004361371640371,686,UniNE
201501004376371640371,564,NoStem
201501004376371640371,476,Porter
201501004376371640371,447,RSLP
201501004376371640371,535,RSLPS
201501004376371640371,522,UniNE
201501004429371640361,686,NoStem
201501004429371640361,589,Porter
201501004429371640361,549,RSLP
201501004429371640361,650,RSLPS
201501004429371640361,638,UniNE
201501004941371640361,744,NoStem
201501004941371640361,639,Porter
201501004941371640361,593,RSLP
201501004941371640361,701,RSLPS
201501004941371640361,682,UniNE
201501004960371640361,423,NoStem
201501004960371640361,383,Porter
201501004960371640361,361,RSLP
201501004960371640361,409,RSLPS
201501004960371640361,409,UniNE
201501005016371640361,667,NoStem
201501005016371640361,583,Porter
201501005016371640361,545,RSLP
201501005016371640361,643,RSLPS
201501005016371640361,629,UniNE
201501005134371640361,289,NoStem
201501005134371640361,266,Porter
201501005134371640361,249,RSLP
201501005134371640361,281,RSLPS
201501005134371640361,277,UniNE
201501005627371640361,446,NoStem
201501005627371640361,397,Porter
201501005627371640361,372,RSLP
201501005627371640361,424,RSLPS
201501005627371640361,415,UniNE
201501005414371640341,372,NoStem
201501005414371640341,338,Porter
201501005414371640341,319,RSLP
201501005414371640341,356,RSLPS
201501005414371640341,352,UniNE
201501005434371640341,353,NoStem
201501005434371640341,327,Porter
201501005434371640341,308,RSLP
201501005434371640341,343,RSLPS
201501005434371640341,341,UniNE
201501005548371640341,425,NoStem
201501005548371640341,390,Porter
201501005548371640341,362,RSLP
201501005548371640341,412,RSLPS
201501005548371640341,408,UniNE
201501005657371640341,1240,NoStem
201501005657371640341,1022,Porter
201501005657371640341,947,RSLP
201501005657371640341,1162,RSLPS
201501005657371640341,1120,UniNE
201501005709371640341,566,NoStem
201501005709371640341,496,Porter
201501005709371640341,467,RSLP
201501005709371640341,543,RSLPS
201501005709371640341,535,UniNE
201501011129371640341,610,NoStem
201501011129371640341,535,Porter
201501011129371640341,510,RSLP
201501011129371640341,585,RSLPS
201501011129371640341,571,UniNE
201501003741371640221,505,NoStem
201501003741371640221,445,Porter
201501003741371640221,420,RSLP
201501003741371640221,477,RSLPS
201501003741371640221,470,UniNE
201501004740371640221,549,NoStem
201501004740371640221,477,Porter
201501004740371640221,432,RSLP
201501004740371640221,519,RSLPS
201501004740371640221,503,UniNE
201501004367371640201,312,NoStem
201501004367371640201,291,Porter
201501004367371640201,273,RSLP
201501004367371640201,300,RSLPS
201501004367371640201,296,UniNE
201501006251371640202,996,NoStem
201501006251371640202,847,Porter
201501006251371640202,786,RSLP
201501006251371640202,935,RSLPS
201501006251371640202,901,UniNE
201501006353371640202,992,NoStem
201501006353371640202,843,Porter
201501006353371640202,782,RSLP
201501006353371640202,931,RSLPS
201501006353371640202,897,UniNE
201501006554371640202,610,NoStem
201501006554371640202,541,Porter
201501006554371640202,507,RSLP
201501006554371640202,581,RSLPS
201501006554371640202,570,UniNE
201501007446371640202,1011,NoStem
201501007446371640202,835,Porter
201501007446371640202,775,RSLP
201501007446371640202,939,RSLPS
201501007446371640202,910,UniNE
201501009949371640201,246,NoStem
201501009949371640201,227,Porter
201501009949371640201,213,RSLP
201501009949371640201,241,RSLPS
201501009949371640201,239,UniNE
201501005281371640151,325,NoStem
201501005281371640151,299,Porter
201501005281371640151,278,RSLP
201501005281371640151,313,RSLPS
201501005281371640151,312,UniNE
201501005282371640151,300,NoStem
201501005282371640151,273,Porter
201501005282371640151,254,RSLP
201501005282371640151,288,RSLPS
201501005282371640151,286,UniNE
201501005297371640151,360,NoStem
201501005297371640151,327,Porter
201501005297371640151,307,RSLP
201501005297371640151,346,RSLPS
201501005297371640151,343,UniNE
201501005124371640131,412,NoStem
201501005124371640131,380,Porter
201501005124371640131,356,RSLP
201501005124371640131,398,RSLPS
201501005124371640131,395,UniNE
201501010550371640131,376,NoStem
201501010550371640131,350,Porter
201501010550371640131,331,RSLP
201501010550371640131,368,RSLPS
201501010550371640131,362,UniNE
201501011846371640131,273,NoStem
201501011846371640131,259,Porter
201501011846371640131,243,RSLP
201501011846371640131,266,RSLPS
201501011846371640131,263,UniNE
201501000408371640061,341,NoStem
201501000408371640061,317,Porter
201501000408371640061,299,RSLP
201501000408371640061,332,RSLPS
201501000408371640061,329,UniNE
201501004633371640061,293,NoStem
201501004633371640061,266,Porter
201501004633371640061,251,RSLP
201501004633371640061,280,RSLPS
201501004633371640061,278,UniNE
201501003915371639921,560,NoStem
201501003915371639921,489,Porter
201501003915371639921,456,RSLP
201501003915371639921,536,RSLPS
201501003915371639921,523,UniNE
201501004021371639921,509,NoStem
201501004021371639921,448,Porter
201501004021371639921,426,RSLP
201501004021371639921,487,RSLPS
201501004021371639921,478,UniNE
