Chave,TUD,Stemmer
201600100343371639562,235,RSLPS
201600100343371639562,230,UniNE
201600101666371640071,444,NoStem
201600101666371640071,406,Porter
201600101666371640071,383,RSLP
201600101666371640071,426,RSLPS
201600101666371640071,421,UniNE
201600101798371639441,635,NoStem
201600101798371639441,556,Porter
201600101798371639441,521,RSLP
201600101798371639441,606,RSLPS
201600101798371639441,595,UniNE
201600101955371639522,248,NoStem
201600101955371639522,234,Porter
201600101955371639522,219,RSLP
201600101955371639522,240,RSLPS
201600101955371639522,238,UniNE
201600102235371639562,219,NoStem
201600102235371639562,202,Porter
201600102235371639562,191,RSLP
201600102235371639562,215,RSLPS
201600102235371639562,209,UniNE
201600102921371640351,116,NoStem
201600102921371640351,114,Porter
201600102921371640351,112,RSLP
201600102921371640351,115,RSLPS
201600102921371640351,116,UniNE
201600103095371639652,227,NoStem
201600103095371639652,210,Porter
201600103095371639652,197,RSLP
201600103095371639652,223,RSLPS
201600103095371639652,218,UniNE
201600104514371639734,150,NoStem
201600104514371639734,139,Porter
201600104514371639734,125,RSLP
201600104514371639734,141,RSLPS
201600104514371639734,142,UniNE
201600108430371640282,223,NoStem
201600108430371640282,209,Porter
201600108430371640282,198,RSLP
201600108430371640282,219,RSLPS
201600108430371640282,214,UniNE
201600109603371640481,365,NoStem
201600109603371640481,337,Porter
201600109603371640481,314,RSLP
201600109603371640481,351,RSLPS
201600109603371640481,350,UniNE
201600111209371640582,226,NoStem
201600111209371640582,213,Porter
201600111209371640582,201,RSLP
201600111209371640582,222,RSLPS
201600111209371640582,218,UniNE
201600111554371640501,64,NoStem
201600111554371640501,64,Porter
201600111554371640501,63,RSLP
201600111554371640501,63,RSLPS
201600111554371640501,64,UniNE
201600112794371640762,236,NoStem
201600112794371640762,221,Porter
201600112794371640762,208,RSLP
201600112794371640762,232,RSLPS
201600112794371640762,225,UniNE
201600112816371640762,236,NoStem
201600112816371640762,221,Porter
201600112816371640762,209,RSLP
201600112816371640762,232,RSLPS
201600112816371640762,225,UniNE
201600113581371640902,240,NoStem
201600113581371640902,226,Porter
201600113581371640902,213,RSLP
201600113581371640902,236,RSLPS
201600113581371640902,230,UniNE
201600113891371640902,234,NoStem
201600113891371640902,219,Porter
201600113891371640902,208,RSLP
201600113891371640902,228,RSLPS
201600113891371640902,224,UniNE
201600113917371640912,222,NoStem
201600113917371640912,209,Porter
201600113917371640912,198,RSLP
201600113917371640912,218,RSLPS
201600113917371640912,214,UniNE
201600114622371640861,649,NoStem
201600114622371640861,567,Porter
201600114622371640861,534,RSLP
201600114622371640861,607,RSLPS
201600114622371640861,593,UniNE
201600114924371641052,230,NoStem
201600114924371641052,216,Porter
201600114924371641052,202,RSLP
201600114924371641052,226,RSLPS
201600114924371641052,220,UniNE
201600115749371641601,593,NoStem
201600115749371641601,515,Porter
201600115749371641601,491,RSLP
201600115749371641601,572,RSLPS
201600115749371641601,560,UniNE
201600117327371641252,244,NoStem
201600117327371641252,226,Porter
201600117327371641252,215,RSLP
201600117327371641252,239,RSLPS
201600117327371641252,235,UniNE
201600118117371641322,116,NoStem
201600118117371641322,111,Porter
201600118117371641322,106,RSLP
201600118117371641322,112,RSLPS
201600118117371641322,110,UniNE
201600118224371641691,323,NoStem
201600118224371641691,303,Porter
201600118224371641691,294,RSLP
201600118224371641691,320,RSLPS
201600118224371641691,318,UniNE
201600119260371641334,449,NoStem
201600119260371641334,415,Porter
201600119260371641334,387,RSLP
201600119260371641334,426,RSLPS
201600119260371641334,418,UniNE
201300321116371632871,239,NoStem
201300321116371632871,224,Porter
201300321116371632871,212,RSLP
201300321116371632871,235,RSLPS
201300321116371632871,232,UniNE
201400302906371632321,338,NoStem
201400302906371632321,305,Porter
201400302906371632321,295,RSLP
201400302906371632321,328,RSLPS
201400302906371632321,330,UniNE
201400303461371632374,279,NoStem
201400303461371632374,260,Porter
201400303461371632374,250,RSLP
201400303461371632374,273,RSLPS
201400303461371632374,272,UniNE
201400303580371632385,250,NoStem
201400303580371632385,237,Porter
201400303580371632385,230,RSLP
201400303580371632385,245,RSLPS
201400303580371632385,244,UniNE
201400303618371632911,390,NoStem
201400303618371632911,346,Porter
201400303618371632911,332,RSLP
201400303618371632911,375,RSLPS
201400303618371632911,370,UniNE
201400305262371632661,263,NoStem
201400305262371632661,252,Porter
201400305262371632661,239,RSLP
201400305262371632661,259,RSLPS
201400305262371632661,259,UniNE
201400305705371632721,231,NoStem
201400305705371632721,222,Porter
201400305705371632721,208,RSLP
201400305705371632721,223,RSLPS
201400305705371632721,223,UniNE
201400307281371632872,296,NoStem
201400307281371632872,273,Porter
201400307281371632872,260,RSLP
