Chave,TUD,Stemmer
201500319036371637841,286,UniNE
201500319672371637841,145,NoStem
201500319672371637841,140,Porter
201500319672371637841,134,RSLP
201500319672371637841,140,RSLPS
201500319672371637841,144,UniNE
201500321058371637964,373,NoStem
201500321058371637964,345,Porter
201500321058371637964,329,RSLP
201500321058371637964,366,RSLPS
201500321058371637964,361,UniNE
201500322429371638821,386,NoStem
201500322429371638821,365,Porter
201500322429371638821,352,RSLP
201500322429371638821,381,RSLPS
201500322429371638821,379,UniNE
201500323257371638204,466,NoStem
201500323257371638204,424,Porter
201500323257371638204,390,RSLP
201500323257371638204,449,RSLPS
201500323257371638204,439,UniNE
201500323662371638254,381,NoStem
201500323662371638254,346,Porter
201500323662371638254,330,RSLP
201500323662371638254,370,RSLPS
201500323662371638254,367,UniNE
201500324745371638391,230,NoStem
201500324745371638391,216,Porter
201500324745371638391,208,RSLP
201500324745371638391,221,RSLPS
201500324745371638391,219,UniNE
201500324812371638481,646,NoStem
201500324812371638481,569,Porter
201500324812371638481,543,RSLP
201500324812371638481,625,RSLPS
201500324812371638481,608,UniNE
201500325228371638451,389,NoStem
201500325228371638451,344,Porter
201500325228371638451,327,RSLP
201500325228371638451,373,RSLPS
201500325228371638451,365,UniNE
201500325471371638821,157,NoStem
201500325471371638821,153,Porter
201500325471371638821,144,RSLP
201500325471371638821,152,RSLPS
201500325471371638821,155,UniNE
201500326293371639251,434,NoStem
201500326293371639251,397,Porter
201500326293371639251,377,RSLP
201500326293371639251,424,RSLPS
201500326293371639251,421,UniNE
201500326416371638801,507,NoStem
201500326416371638801,458,Porter
201500326416371638801,430,RSLP
201500326416371638801,488,RSLPS
201500326416371638801,484,UniNE
201500326514371640831,280,NoStem
201500326514371640831,262,Porter
201500326514371640831,251,RSLP
201500326514371640831,275,RSLPS
201500326514371640831,276,UniNE
201500327403371638664,223,NoStem
201500327403371638664,214,Porter
201500327403371638664,211,RSLP
201500327403371638664,220,RSLPS
201500327403371638664,219,UniNE
201500328646371638795,451,NoStem
